School name,Suburb,What's happening?,Project type,coordinates x,coordinates y
1895 Ballarto Road Family & Community Centre (interim name),Clyde,Building Blocks Capacity Grant – Integrated Children’s Centre,Early childhood projects,145.3670439,-38.1372226
Abbotsford Primary School,Abbotsford,Upgrade and Modernisation,School upgrades,144.998922,-37.8089926
Abeles Liberman Pre School,Caulfield North,Building Blocks Inclusion Grant | Building Blocks Improvement Grant - Early Learning Facility Upgrade | Building Blocks Improvement Grant - Upgrade,Early childhood projects,145.0247002,-37.8726442
Aberfeldie Primary School,Essendon,Upgrade and Modernisation | Inclusive Schools Fund | Minor Capital Works Fund,School upgrades,144.8947509,-37.75603419999999
Acacia Avenue Preschool,Mentone,New Early Learning Facility,Early childhood projects,145.0868,-37.9824979
Acacia Children's Centre - Richmond,Richmond,Building Blocks Improvement Grant,Early childhood projects,144.997555,-37.814677
Acacia Children's Centre – St Albans,St Albans,Early Childhood Refurbishment and Minor Works,Early childhood projects,144.7980763,-37.7284027
Acacia Fitzroy Creche,Fitzroy,Building Blocks Inclusion Grant | Early Learning Facility Upgrade | Early Childhood Refurbishment and Minor Works,Early childhood projects,,
Adass Israel Preschool,Elsternwick,Early Childhood Refurbishment and Minor Works | Building Blocks Capacity Grant - Expansion,Early childhood projects,,
Advance College of Education Incorporated,Rosebud,Non-Government Schools Capital Fund - 2020-21,Non-government grants,144.9086168,-38.3680733
Ainslie Parklands Primary School,Croydon,Minor Capital Works Fund | Permanent Modular School Buildings Program,School upgrades,145.2642692,-37.7938257
Aintree Children's and Community Centre,Aintree,Building Blocks Partnership,Early childhood projects,144.6281692,-37.7151601
Aintree North Primary School (interim name),,New School,New schools,144.6625687,-37.7215428
Aintree Primary School,Aintree,New School – Expansion | Inclusive Schools Fund - Round 7 | New School,"New schools, School upgrades",144.6663201,-37.7237561
Aireys Inlet Primary School,Aireys Inlet,Upgrade and Modernisation | Minor Capital Works Fund,School upgrades,144.1096801,-38.4563369
Airly Primary School,Airly,Inclusive Schools Fund – Round 8,School upgrades,147.1140793,-38.0258212
Airport West Kindergarten,Airport West,Building Blocks Partnership,Early childhood projects,144.8814691,-37.7234615
Aitken College,Greenvale,Non-Government Schools Capital Fund - 2020-21,Non-government grants,144.890115,-37.6278478
Aitken Hill Integrated Community Centre,Craigieburn,Building Blocks Partnership | Integrated Children's Centre,Early childhood projects,144.9051103,-37.6019318
Aitken Hill Primary School,Craigieburn,New School - Expansion | Inclusive Schools Fund - Round 7 | New School,"New schools, School upgrades",144.9051103,-37.6019318
